,Overall
Overall,1.0
bow0,-0.43559529645802486
bow1,-0.4286701330309772
bow2,-0.7613106012422467
bow3,-0.45405782885506896
bow4,-0.7667669301644715
bow5,-0.4442723976436277
bow6,-0.7644710695069206
tf_idf0,-0.7604339292300194
tf_idf1,-0.7553736912354211
tf_idf2,-0.7858771721798091
tf_idf3,-0.7657146728424739
tf_idf4,-0.7967765348239143
tf_idf5,-0.7610078829248539
tf_idf6,-0.789994149043708
bert_base_mean0,-0.6123859423927546
bert_base_mean1,-0.5977422242501469
bert_base_mean2,-0.5804047485988265
bert_base_mean3,-0.5884267818932306
bert_base_mean4,-0.579239298528146
bert_base_mean5,-0.599110222632469
bert_base_mean6,-0.5821017738437584
bert_base_max0,-0.5410716677208735
bert_base_max1,-0.5329953037167372
bert_base_max2,-0.526596937646544
bert_base_max3,-0.5335398688979801
bert_base_max4,-0.5399157441580205
bert_base_max5,-0.5400600649083211
bert_base_max6,-0.5330762982759869
bert_miniLM0,-0.8135522691343936
bert_miniLM1,-0.811477093445186
bert_miniLM2,-0.774371730611183
bert_miniLM3,-0.7636850266443049
bert_miniLM4,-0.718764067895984
bert_miniLM5,-0.8082808697446827
bert_miniLM6,-0.770502664153975
word2vec0,-0.481843059752514
word2vec1,-0.5040276779853419
word2vec2,-0.5976496330499015
word2vec3,-0.44157591608505703
word2vec4,-0.5519482188286058
word2vec5,-0.49915396094805753
word2vec6,-0.5931057663917784
doc2vec0,-0.6531792886199865
doc2vec1,-0.7059357424402738
doc2vec2,-0.7165323440079532
doc2vec3,-0.7172934615137333
doc2vec4,-0.7232756091778942
doc2vec5,-0.7133342179833377
doc2vec6,-0.7183661816662557
